Species,Species_type,Feeding_habit,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Primary.Lifestyle,Mppersp,Migration,Migratory_status,IUCN
Corvus splendens,Landbird,Omnivore,49.7,13.9,258.2,292.6,Omnivore,Omnivore,Human modified,3,Terrestrial,2.64,1,Not a Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,10.3,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,7.1,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,13.1,3,Full Migrant,LC
Fulmarus,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,1.6,3,Full Migrant,LC
Turdus merula,Landbird,Omnivore,28.5,5.3,128.4,102.7,Omnivore,Omnivore,Forest,2,Generalist,40.11,1,Full migrant,LC
Turdus philomelos,Landbird,Omnivore,23.1,5,116,67.7,Omnivore,Invertivore,Forest,1,Generalist,21.94,3,Full migrant,LC
Cinclus cinclus,Landbird,Insectivore,22.1,3.4,88.9,61.5,Carnivore,Aquatic predator,Reverine,3,Generalist,1.3,1,Full migrant,LC
Cinclus cinclus,Landbird,Omnivore,22.1,3.4,88.9,61.5,Carnivore,Aquatic predator,Reverine,3,Generalist,1.7,1,Full migrant,LC
Cinclus cinclus,Landbird,Omnivore,22.1,3.4,88.9,61.5,Carnivore,Aquatic predator,Reverine,3,Generalist,0.5,1,Full migrant,LC
Cinclus cinclus,Landbird,Omnivore,22.1,3.4,88.9,61.5,Carnivore,Aquatic predator,Reverine,3,Generalist,0.9,1,Full migrant,LC
Cinclus cinclus,Landbird,Omnivore,22.1,3.4,88.9,61.5,Carnivore,Aquatic predator,Reverine,3,Generalist,0.6,1,Full migrant,LC
Ptychoramphus aleuticus,Seabird,Piscivore,24,6.6,121,184,Carnivore,Aquatic predator,Marine,3,Aquatic,5.43,3,Not a Migrant,NT
Ptychoramphus aleuticus,Seabird,Piscivore,24,6.6,121,184,Carnivore,Aquatic predator,Marine,3,Aquatic,6.57,3,Not a Migrant,NT
Ptychoramphus aleuticus,Seabird,Piscivore,24,6.6,121,184,Carnivore,Aquatic predator,Marine,3,Aquatic,5.38,3,Not a Migrant,NT
Pygoscelis adeliae,Seabird,Piscivore,59.7,12.9,94.5,4847.7,Carnivore,Aquatic predator,Marine,3,Aquatic,0.15,2,Full migrant,LC
Pygoscelis antarcticus,Seabird,Piscivore,61.8,14.8,100.5,4146.1,Carnivore,Aquatic predator,Marine,3,Aquatic,0.31,2,Full migrant,LC
Pygoscelis papua,Seabird,Piscivore,64.8,12.4,126.1,5933,Carnivore,Aquatic predator,Marine,3,Aquatic,0.29,2,Not a Migrant,LC
Uria aalge,Seabird,Piscivore,56.8,8.1,196.3,991.9,Carnivore,Aquatic predator,Marine,3,Aquatic,0.15,3,Full migrant,LC
Morus bassanus,Seabird,Piscivore,98.7,24.8,485.8,2998.7,Carnivore,Aquatic predator,Marine,3,Aerial,0.3,2,Full migrant,LC
Fratercula arctica,Seabird,Piscivore,51,8.7,163.6,593,Carnivore,Aquatic predator,Marine,3,Aquatic,0.27,3,Full migrant,VU
Rissa tridactyla,Aquatic bird,Carnivore,44.5,5.3,301,416,Carnivore,Aquatic predator,Marine,3,Aerial,0.78,2,Full migrant,VU
Larus argentatus,Aquatic bird,Piscivore,74,8.9,430,1091,Carnivore,Aquatic predator,Coastal,3,Generalist,0.14,2,Full migrant,LC
Larus ridibundus,Aquatic bird,Carnivore,43.4,4,291.2,284,Carnivore,Aquatic predator,Wetland,3,Generalist,0.33,2,Full migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,32.5,3,Full Migrant,LC
Puffinus mauretanicus,Seabird,Piscivore,45.1,7.7,242.2,497,Carnivore,Aquatic predator,Marine,3,Generalist,5,2,Full migrant,CR
Ardenna gravis,Seabird,Piscivore,54.7,8.3,317.8,849,Carnivore,Aquatic predator,Marine,3,Aerial,8,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,5.2,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,10.4,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,5.6,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,6,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,5.3,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,7.3,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,2.3,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,8.4,3,Full migrant,LC
Tachycineta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,2.2,3,Full migrant,LC
Leiothlypis peregrina,Landbird,Omnivore,10.9,3.1,62.5,8.9,Carnivore,Invertivore,Forest,1,Insessorial,19,3,Full migrant,LC
Junco hyemalis,Landbird,Omnivore,11.6,4.5,75.2,19.5,Herbivore,Granivore,Forest,2,Generalist,13.7,3,Full migrant,LC
Catharus guttatus,Landbird,Omnivore,18.8,3.4,89,30.1,Omnivore,Invertivore,Forest,1,Generalist,35.3,3,Full migrant,LC
Zonotrichia albicollis,Landbird,Omnivore,13.6,5.1,72.8,24.4,Herbivore,Omnivore,Woodland,2,Terrestrial,19.3,3,Full migrant,LC
Seiurus aurocapilla,Landbird,Insectivore,15.1,3.6,73.2,18.8,Carnivore,Invertivore,Forest,1,Terrestrial,10,3,Full migrant,LC
Anser caerulescens,Waterbird,Herbivore,61.8,19.4,411.8,2636.2,Herbivore,Herbivore aquatic,Grassland,3,Terrestrial,0.02,3,Full migrant,LC
Branta canadensis,Waterbird,Herbivore,50,19.9,422.9,2811.7,Herbivore,Herbivore terrestrial,Grassland,3,Terrestrial,0.05,3,Full migrant,LC
Mareca americana,Waterbird,Herbivore,44.9,16,253.2,754.6,Herbivore,Omnivore,Wetland,3,Terrestrial,0.06,3,Full migrant,LC
Anas platyrhynchos,Waterbird,Omnivore,58.5,20.8,263.4,843.4,Herbivore,Herbivore aquatic,Wetland,3,Aquatic,0.07,2,Full migrant,LC
Anas acuta,Waterbird,Omnivore,48.1,14.5,256.7,944.6,Herbivore,Herbivore aquatic,Aquatic,3,Aquatic,0.1,3,Full migrant,LC
Melanitta deglandi,Aquatic bird,Carnivore,46.8,27.2,270,1800.2,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.06,3,Full migrant,LC
Somateria mollissima,Aquatic bird,Carnivore,62.1,19.1,280.2,2060.9,Carnivore,Aquatic predator,Marine,3,Aquatic,0.02,2,Full migrant,NT
Gavia adamsii,Aquatic bird,Piscivore,104.8,10.4,371.4,4944.3,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.33,3,Full migrant,NT
Puffinus newelli,Seabird,Piscivore,42.7,7,241,350.8,Carnivore,Aquatic predator,Marine,3,Generalist,1.2,2,Full migrant,CR
Ardenna pacifica,Seabird,Piscivore,40.9,7.9,296.8,388,Carnivore,Aquatic predator,Marine,3,Generalist,2.38,3,Full migrant,LC
Ardenna pacifica,Seabird,Piscivore,40.9,7.9,296.8,388,Carnivore,Aquatic predator,Marine,3,Generalist,3.68,3,Full migrant,LC
Hydrobates monorhis,Seabird,Piscivore,16.5,3,152.6,39.8,Carnivore,Aquatic predator,Marine,3,Aerial,15.2,3,Full migrant,NT
Hydrobates monorhis,Seabird,Piscivore,16.5,3,152.6,39.8,Carnivore,Aquatic predator,Marine,3,Aerial,24.3,3,Full migrant,NT
Tyto alba,Landbird,Carnivore,32,8.5,280.2,403.3,Carnivore,Vertivore,Human modified,3,Insessorial,6,1,Not a Migrant,LC
Bubo virginianus,Landbird,Carnivore,44.7,17.8,371.2,1354.5,Carnivore,Vertivore,Forest,2,Insessorial,18.5,1,Full migrant,LC
Buteo lineatus,Landbird,Carnivore,33.1,11.8,319,603.7,Carnivore,Vertivore,Woodland,1,Aerial,14,3,Full migrant,LC
Buteo jamaicensis,Landbird,Carnivore,37.6,14.4,402.8,1101.2,Carnivore,Vertivore,Woodland,2,Insessorial,8,3,Full migrant,LC
Bulweria bulwerii,Seabird,Piscivore,21.6,4.8,203.2,99,Carnivore,Aquatic predator,Marine,3,Aquatic,0.5,2,Full migrant,LC
Puffinus lherminieri,Seabird,Piscivore,31,4.9,185.3,192.8,Carnivore,Aquatic predator,Marine,3,Aquatic,0.5,2,Full migrant,LC
Calonectris edwardsii,Seabird,Piscivore,42.8,8.2,309,535,Carnivore,Aquatic predator,Marine,3,Aerial,1.1,3,Full migrant,NT
Phaethon aethereus,Seabird,Piscivore,66.4,8.8,309.2,750,Carnivore,Aquatic predator,Marine,3,Aerial,1.5,3,Not a Migrant,LC
Sula leucogaster,Seabird,Piscivore,100.9,20.5,388.6,1288.8,Carnivore,Aquatic predator,Marine,3,Aerial,1.5,2,Not a Migrant,LC
Clangula hyemalis,Aquatic bird,Carnivore,32.1,16,215.6,871,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.144,3,Full migrant,VU
Gavia stellata,Aquatic bird,Piscivore,63.1,7.5,275.4,1486,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.045,3,Full migrant,LC
Uria aalge,Seabird,Piscivore,56.8,8.1,196.3,991.9,Carnivore,Aquatic predator,Marine,3,Aquatic,0.03,3,Full migrant,LC
Mergus serrator,Aquatic bird,Piscivore,65,8.2,233.6,1015.2,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.33,3,Full migrant,LC
Gavia pacifica,Aquatic bird,Piscivore,71.9,8.3,291.2,2251.1,Carnivore,Aquatic predator,Wetland,3,Aquatic,0.35,3,Full migrant,LC
Hydrobates monorhis,Seabird,Piscivore,16.5,3,152.6,39.8,Carnivore,Aquatic predator,Marine,3,Aerial,18.73,3,Full migrant,NT
Larus crassirostris,Aquatic bird,Carnivore,58.7,6.5,364.2,561,Carnivore,Aquatic predator,Coastal,3,Aerial,0.13,2,Full migrant,LC
Synthliboramphus antiquus,Seabird,Piscivore,23.6,5,135.5,217.7,Carnivore,Aquatic predator,Marine,3,Aquatic,0.02,3,Full migrant,LC
Calonectris borealis,Seabird,Piscivore,55,11.3,347,535,Carnivore,Aquatic predator,Marine,3,Generalist,8.13,3,Full migrant,LC
Hydrobates castro,Seabird,Piscivore,15.6,2.7,150.4,46.1,Carnivore,Aquatic predator,Marine,3,Aerial,5.6,3,Full migrant,LC
Larus michahellis,Aquatic bird,Carnivore,67.6,8.6,422.8,1111.9,Carnivore,Aquatic predator,Coastal,3,Generalist,1.83,2,Full migrant,LC
Larus ridibundus,Aquatic bird,Carnivore,43.4,4,291.2,284,Carnivore,Aquatic predator,Wetland,3,Generalist,1,2,Full migrant,LC
Bubulcus ibis,Aquatic bird,Carnivore,63.3,8.6,244.4,366,Carnivore,Omnivore,Human modified,3,Terrestrial,3,2,Full migrant,LC
Larus michahellis,Aquatic bird,Carnivore,67.6,8.6,422.8,1111.9,Carnivore,Aquatic predator,Coastal,3,Generalist,0.2667,2,Full migrant,LC
Larus fuscus,Aquatic bird,Carnivore,62.3,7.9,412.2,762.4,Carnivore,Aquatic predator,Coastal,3,Generalist,0.4677,2,Full migrant,LC
Ciconia ciconia,Aquatic bird,Carnivore,189.1,23.5,565.6,3445.8,Carnivore,Omnivore,Grassland,3,Terrestrial,1.2222,3,Full migrant,LC
Hydrobates pelagicus,Seabird,Piscivore,13.7,2.3,119,25.2,Carnivore,Aquatic predator,Marine,3,Aerial,1.86,3,Full migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,5.9,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,18.7,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,1.9,3,Full Migrant,LC
Fulmarus glacialis,Seabird,Piscivore,41.3,11.9,321.1,611.9,Carnivore,Aquatic predator,Marine,3,Aquatic,22,3,Full Migrant,LC
Ardenna tenuirostris,Seabird,Piscivore,37.2,6.5,262.2,559,Carnivore,Aquatic predator,Marine,3,Generalist,8.23,3,Full migrant,LC
Ardenna tenuirostris,Seabird,Piscivore,37.2,6.5,262.2,559,Carnivore,Aquatic predator,Marine,3,Generalist,7.11,3,Full migrant,LC
Tachicyneta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,11.3,3,Full migrant,LC
Tachicyneta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,5.1,3,Full migrant,LC
Tachicyneta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,5.9,3,Full migrant,LC
Tachicyneta bicolor,Landbird,Insectivore,10.8,3.8,115.9,21.2,Carnivore,Invertivore,Wetland,3,Aerial,8.7,3,Full migrant,LC
Larus delawarensis,Aquatic bird,Carnivore,48.1,6.2,366,516.3,Carnivore,Omnivore,Coastal,3,Terrestrial,3.7,2,Full migrant,LC
Ardenna pacifica,Seabird,Piscivore,40.9,7.9,296.8,388,Carnivore,Aquatic predator,Marine,3,Generalist,1.1,3,Full migrant,LC
Ardenna pacifica,Seabird,Piscivore,40.9,7.9,296.8,388,Carnivore,Aquatic predator,Marine,3,Generalist,1,3,Full migrant,LC
Ardenna pacifica,Seabird,Piscivore,40.9,7.9,296.8,388,Carnivore,Aquatic predator,Marine,3,Generalist,1.1,3,Full migrant,LC
Rallus crepitans,Waterbird,Carnivore,64.7,3.8,148,306,Carnivore,Aquatic predator,Wetland,1,Terrestrial,7.2,2,Full migrant,LC
Ammospiza maritima,Landbird,Omnivore,16.3,4.2,60.6,22.2,Carnivore,Invertivore,Wetland,3,Terrestrial,2.7,2,Not a Migrant,LC
Buteo buteo,Landbird,Carnivore,35.9,12.6,382.9,759.1,Carnivore,Vertivore,Grassland,3,Insessorial,17,2,Full migrant,LC
Milvus migrans,Landbird,Carnivore,40,13,457.4,734.1,Omnivore,Omnivore,Woodland,3,Aerial,4,3,Full migrant,LC
Falco tinnunculus,Landbird,Carnivore,20.8,10.6,241,183.2,Carnivore,Vertivore,Shrubland,3,Aerial,21,3,Full migrant,LC
Hierococcyx sparverioides,Landbird,Carnivore,30.3,7.8,235,151,Carnivore,Invertivore,Woodland,1,Insessorial,11,3,Full migrant,LC
Bubulcus ibis,Aquatic bird,Carnivore,63.3,8.6,244.4,366,Carnivore,Omnivore,Human modified,3,Terrestrial,10,2,Full migrant,LC
Turdus obscurus,Landbird,Omnivore,22,4.4,119.8,62.6,Omnivore,Invertivore,Forest,1,Insessorial,4,3,Full migrant,LC
Turdus hortulorum,Landbird,Carnivore,23.3,4.9,115.8,66.7,Carnivore,Invertivore,Forest,1,Terrestrial,2,3,Full migrant,LC
Pica pica,Landbird,Carnivore,40.8,12.4,194.5,217.5,Omnivore,Omnivore,Human modified,3,Terrestrial,7,1,Not a Migrant,LC
Spilopelia chinensis,Landbird,Herbivore,19.9,3.5,138.8,159,Herbivore,Granivore,Woodland,3,Terrestrial,10,1,Full migrant,LC
Pycnonotus sinensis,Landbird,Insectivore,17.9,4.4,86.7,34.2,Herbivore,Omnivore,Human modified,2,Insessorial,273,3,Full migrant,LC
Pycnonotus aurigaster,Landbird,Insectivore,19.4,4.1,91.8,44.3,Herbivore,Omnivore,Shrubland,2,Insessorial,399,1,Not a Migrant,LC
Lanius schach,Landbird,Insectivore,21.8,6.8,92.4,51.5,Carnivore,Invertivore,Shrubland,2,Insessorial,406,2,Full migrant,LC
Copsychus saularis,Landbird,Insectivore,23.2,5.4,97.5,36,Carnivore,Invertivore,Woodland,1,Terrestrial,249,1,Not a Migrant,LC
Motacilla alba,Landbird,Insectivore,16.1,3.4,87,23.9,Carnivore,Invertivore,Human modified,3,Terrestrial,262,3,Full migrant,LC
Parus major,Landbird,Insectivore,11.3,4,70.9,16.3,Omnivore,Invertivore,Woodland,2,Insessorial,150,1,Not a Migrant,LC
Gracupica nigricollis,Landbird,Insectivore,32.4,6,158.1,156.9,Carnivore,Invertivore,Grassland,3,Insessorial,1250,1,Not a Migrant,LC
Turdus mandarinus,Landbird,Insectivore,30.9,5.3,146.6,102.7,Omnivore,Omnivore,Forest,2,Generalist,288,1,Full migrant,LC
Spilopelia chinensis,Landbird,Grainivore,19.9,3.5,138.8,159,Herbivore,Granivore,Woodland,3,Terrestrial,304,1,Full migrant,LC
Alcedo atthis,Landbird,Piscivore,42.2,5.7,73.3,31.1,Carnivore,Aquatic predator,Reverine,2,Insessorial,191,1,Full migrant,LC
Numenius phaeopus,Waterbird,Carnivore,92.1,6.6,233,364.6,Carnivore,Omnivore,Grassland,3,Terrestrial,2,3,Full migrant,LC
Sula sula,Seabird,Piscivore,79.3,21.5,366.8,1031.1,Carnivore,Aquatic predator,Marine,3,Aerial,2,2,Full migrant,LC
Numenius phaeopus,Waterbird,Carnivore,92.1,6.6,233,364.6,Carnivore,Omnivore,Grassland,3,Terrestrial,35,3,Full migrant,LC
Sula sula,Seabird,Piscivore,79.3,21.5,366.8,1031.1,Carnivore,Aquatic predator,Marine,3,Aerial,1,2,Full migrant,LC
Numenius phaeopus,Waterbird,Carnivore,92.1,6.6,233,364.6,Carnivore,Omnivore,Grassland,3,Terrestrial,10,3,Full migrant,LC
